Year    GDP     SO2       
1870	3191	1568
1871	3345	1658
1872	3319	1745
1873	3365	1835
1874	3386	1783
1875	3434	1879
1876	3430	1866
1877	3425	1881
1878	3403	1854
1879	3353	1860
1880	3477	2035
1881	3568	2134
1882	3643	2153
1883	3643	2238
1884	3622	2182
1885	3574	2155
1886	3600	2137
1887	3713	2191
1888	3849	2278
1889	4024	2359
1890	4009	2414
1891	3975	2465
1892	3846	2414
1893	3811	2163
1894	4029	2476
1895	4118	2500
1896	4249	2572
1897	4264	2641
1898	4428	2646
1899	4567	2835
1900	4492	2870
1901	4450	2809
1902	4525	2917
1903	4440	2942
1904	4428	2956
1905	4520	2996
1906	4631	3105
1907	4679	3245
1908	4449	3164
1909	4511	3193
1910	4611	3220
1911	4709	3299
1912	4762	3130
1913	4921	3429
1914	4927	3325
1915	5288	3371
1916	5384	3496
1917	5421	3462
1918	5459	3228
1919	4870	3160
1920	4548	3258
1921	4439	2224
1922	4637	2977
1923	4760	3164
1924	4921	3316
1925	5144	3114
1926	4936	1734
1927	5315	3235
1928	5357	3023
1929	5503	3185
1930	5441	3048
1931	5138	2847
1932	5148	2742
1933	5277	2716
1934	5608	2930
1935	5799	2969
1936	6035	3136
1937	6218	3235
1938	6266	3096
1939	6262	3147
1940	6856	3304
1941	7482	3244
1942	7639	3241
1943	7744	3144
1944	7405	3066
1945	7056	2899
1946	6745	3014
1947	6604	3181
1948	6746	3236
1949	6956	3324
1950	6907	3396
1951	7083	3726
1952	7048	3772
1953	7304	3756
1954	7574	3813
1955	7826	3924
1956	7891	3903
1957	7982	3878
1958	7932	3805
1959	8208	3689
1960	8645	3503
1961	8857	3461
1962	8865	3588
1963	9149	3507
1964	9568	3515
1965	9752	3458
1966	9885	3280
1967	10049	3309
1968	10410	3212
1969	10552	3008
1970	10767	2921
1971	10937	3028
1972	11290	2589
1973	12022	2742
1974	11856	2488
1975	11845	2650
1976	12113	2510
1977	12381	2411
1978	12825	2365
1979	13164	2343
1980	12928	2440
1981	12754	2213
1982	12960	2107
1983	13406	1937
1984	13709	1856
1985	14148	1875
1986	14727	1955
1987	14386	1954
1988	16110	1920
1989	16404	1860
1990	16411	1877
1991	16096	1784
1992	16050	1724
1993	16367	1553
1994	17027	1333
1995	17440	1174
1996	17834	1005
1997	18395	819
1998	18860	784
1999	19223	594
